IncLevel1	IncLevel2	IncLevelDifference
1.0,0.976	1.0,1.0	-0.012
1.0,0.976	1.0,1.0	-0.012
1.0,0.981	1.0,0.985	-0.002
1.0,1.0	1.0,1.0	0.0
1.0,1.0	0.993,1.0	0.004
1.0,0.999	1.0,1.0	-0.0
0.248,0.623	0.752,0.712	-0.296
0.038,0.018	0.052,0.071	-0.034
0.996,1.0	1.0,1.0	-0.002
1.0,0.985	1.0,1.0	-0.008
1.0,1.0	0.979,1.0	0.01
0.745,0.866	0.804,1.0	-0.097
0.866,1.0	0.764,1.0	0.051
1.0,0.996	1.0,1.0	-0.002
0.929,0.9	0.887,1.0	-0.029
1.0,0.958	1.0,1.0	-0.021
1.0,0.957	1.0,1.0	-0.022
1.0,0.978	1.0,1.0	-0.011
1.0,0.915	1.0,1.0	-0.042
1.0,1.0	1.0,1.0	0.0
1.0,0.998	1.0,1.0	-0.001
1.0,1.0	1.0,0.999	0.0
1.0,0.972	1.0,1.0	-0.014
1.0,0.863	1.0,1.0	-0.069
1.0,0.978	1.0,1.0	-0.011
0.945,1.0	0.962,1.0	-0.009
1.0,0.937	0.948,0.945	0.022
0.421,1.0	NA,1.0	-0.289
0.975,0.996	1.0,1.0	-0.014
0.982,0.997	1.0,1.0	-0.01
0.954,1.0	0.932,0.817	0.102
1.0,1.0	0.999,1.0	0.0
0.888,0.951	1.0,1.0	-0.081
0.0,0.0	0.05,0.0	-0.025
1.0,1.0	0.984,1.0	0.008
1.0,1.0	0.988,1.0	0.006
0.834,0.782	0.212,1.0	0.202
0.083,0.099	0.084,0.111	-0.007
0.993,0.978	1.0,0.987	-0.008
0.914,1.0	1.0,1.0	-0.043
1.0,0.886	1.0,1.0	-0.057
1.0,1.0	1.0,0.939	0.03
1.0,1.0	1.0,0.943	0.028
1.0,NA	0.645,1.0	0.177
0.998,1.0	1.0,1.0	-0.001
0.995,1.0	1.0,1.0	-0.002
0.997,0.998	0.998,1.0	-0.001
0.937,0.849	0.953,0.917	-0.042
1.0,1.0	0.979,1.0	0.01
1.0,1.0	0.964,1.0	0.018
1.0,0.989	0.998,1.0	-0.005
0.035,0.037	0.061,0.064	-0.026
0.998,0.993	1.0,0.997	-0.003
0.176,0.194	0.216,0.176	-0.011
0.103,0.089	0.471,0.384	-0.332
0.966,1.0	1.0,1.0	-0.017
1.0,0.909	1.0,1.0	-0.045
0.233,0.245	0.099,0.165	0.107
0.996,1.0	1.0,1.0	-0.002
1.0,0.991	1.0,1.0	-0.004
1.0,0.969	0.946,1.0	0.011
1.0,0.995	1.0,1.0	-0.002
1.0,1.0	0.987,1.0	0.006
1.0,1.0	0.974,0.98	0.023
0.959,1.0	1.0,1.0	-0.02
1.0,1.0	1.0,0.98	0.01
1.0,0.984	0.995,1.0	-0.006
1.0,1.0	1.0,0.991	0.004
0.995,0.996	1.0,1.0	-0.004
0.997,0.998	1.0,1.0	-0.002
0.998,0.999	0.999,1.0	-0.001
1.0,0.374	1.0,1.0	-0.313
1.0,0.979	1.0,1.0	-0.01
1.0,0.997	1.0,1.0	-0.002
1.0,0.991	1.0,1.0	-0.004
1.0,1.0	0.982,0.962	0.028
0.933,0.907	0.824,1.0	0.008
0.952,0.872	0.837,1.0	-0.007
1.0,0.972	1.0,1.0	-0.014
1.0,0.998	0.998,1.0	0.0
1.0,0.991	1.0,1.0	-0.004
1.0,1.0	0.874,1.0	0.063
0.029,0.0	0.019,0.0	0.005
0.0,0.0	0.195,0.421	-0.308
1.0,1.0	1.0,1.0	0.0
0.988,1.0	1.0,1.0	-0.006
0.989,1.0	1.0,1.0	-0.006
0.826,1.0	1.0,1.0	-0.087
0.987,0.985	0.982,0.986	0.002
1.0,0.987	1.0,1.0	-0.006
0.986,0.988	0.983,0.995	-0.002
0.939,0.865	1.0,1.0	-0.098
0.884,0.689	1.0,1.0	-0.214
0.985,0.973	0.987,0.881	0.045
0.974,0.953	0.977,0.842	0.054
1.0,1.0	0.981,1.0	0.01
1.0,1.0	1.0,0.844	0.078
1.0,1.0	0.991,1.0	0.004
1.0,0.994	1.0,1.0	-0.003
0.943,0.977	0.966,0.906	0.024
0.951,0.979	0.968,0.906	0.028
0.935,0.973	0.967,0.905	0.018
1.0,0.946	1.0,0.837	0.054
1.0,0.739	1.0,1.0	-0.131
0.099,0.156	0.246,0.0	0.005
1.0,0.993	1.0,1.0	-0.004
0.971,0.937	0.977,0.964	-0.016
0.18,0.214	0.081,0.203	0.055
1.0,1.0	0.813,1.0	0.094
0.085,0.229	0.154,0.217	-0.028
1.0,1.0	1.0,1.0	0.0
0.983,0.984	0.985,0.984	-0.001
0.994,0.995	0.995,0.998	-0.002
0.991,1.0	1.0,1.0	-0.004
0.923,1.0	1.0,1.0	-0.038
0.996,1.0	1.0,1.0	-0.002
0.934,0.972	0.978,0.916	0.006
0.84,0.882	0.948,1.0	-0.113
1.0,1.0	0.999,1.0	0.0
1.0,1.0	0.979,1.0	0.01
1.0,0.985	1.0,1.0	-0.008
0.994,0.991	0.994,1.0	-0.005
0.001,0.0	0.0,0.001	0.0
0.997,0.999	0.999,0.999	-0.001
0.015,0.019	0.019,0.016	-0.001
0.991,1.0	1.0,1.0	-0.004
0.989,1.0	1.0,1.0	-0.006
1.0,0.99	1.0,1.0	-0.005
0.996,1.0	1.0,1.0	-0.002
1.0,0.997	1.0,1.0	-0.002
0.766,0.648	1.0,1.0	-0.293
0.782,0.511	1.0,1.0	-0.353
1.0,1.0	0.813,1.0	0.094
0.951,1.0	1.0,0.772	0.09
0.957,1.0	1.0,1.0	-0.022
1.0,1.0	0.999,1.0	0.0
1.0,0.964	0.937,1.0	0.013
0.753,0.75	0.712,0.624	0.084
0.839,0.799	0.843,0.669	0.063
1.0,0.982	0.95,0.956	0.038
0.99,1.0	1.0,1.0	-0.005
0.969,0.988	1.0,1.0	-0.022
0.87,1.0	1.0,1.0	-0.065
1.0,0.968	0.941,1.0	0.014
1.0,1.0	0.978,1.0	0.011
0.997,1.0	1.0,1.0	-0.002
1.0,0.997	1.0,1.0	-0.002
1.0,1.0	0.531,0.826	0.322
0.949,0.989	0.982,0.958	-0.001
1.0,1.0	0.996,1.0	0.002
1.0,1.0	0.998,1.0	0.001
0.154,0.204	0.151,0.131	0.038
1.0,1.0	0.992,1.0	0.004
1.0,0.866	0.905,1.0	-0.019
1.0,0.958	0.959,1.0	-0.001
0.989,1.0	1.0,1.0	-0.006
1.0,1.0	1.0,0.997	0.002
1.0,0.984	1.0,1.0	-0.008
0.009,0.007	0.004,0.004	0.004
1.0,0.945	1.0,1.0	-0.028
1.0,1.0	0.965,1.0	0.018
1.0,1.0	0.998,1.0	0.001
1.0,0.997	0.988,1.0	0.004
1.0,0.976	1.0,1.0	-0.012
0.012,0.126	0.064,0.1	-0.013
1.0,0.993	1.0,1.0	-0.004
1.0,1.0	0.997,1.0	0.002
0.961,1.0	0.979,1.0	-0.009
1.0,1.0	0.983,0.972	0.022
0.073,0.08	0.069,0.076	0.004
0.977,1.0	1.0,1.0	-0.012
0.981,0.982	0.994,0.977	-0.004
0.318,0.341	0.2,0.196	0.132
1.0,0.997	0.994,0.992	0.005
1.0,0.932	1.0,1.0	-0.034
1.0,1.0	0.986,1.0	0.007
0.228,0.188	0.439,0.488	-0.256
0.334,0.331	0.169,0.263	0.116
0.933,1.0	1.0,1.0	-0.033
0.994,0.993	0.993,0.992	0.001
0.995,0.994	0.993,0.993	0.001
1.0,0.997	0.994,1.0	0.001
0.732,0.743	0.749,0.678	0.024
1.0,1.0	1.0,0.993	0.004
1.0,0.961	1.0,1.0	-0.02
0.997,1.0	0.992,1.0	0.002
1.0,1.0	0.977,1.0	0.012
1.0,1.0	0.986,1.0	0.007
0.499,0.176	0.0,1.0	-0.162
1.0,1.0	1.0,1.0	0.0
NA,0.0	1.0,NA	-1.0
0.0,0.001	0.0,0.0	0.001
0.953,1.0	1.0,1.0	-0.024
1.0,1.0	0.992,1.0	0.004
0.987,0.991	0.97,1.0	0.004
1.0,1.0	0.999,1.0	0.0
1.0,0.992	1.0,1.0	-0.004
0.996,0.997	1.0,1.0	-0.004
0.981,1.0	1.0,1.0	-0.01
0.0,0.0	0.0,0.008	-0.004
0.994,0.995	1.0,1.0	-0.006
0.945,0.964	0.985,0.984	-0.03
1.0,0.987	1.0,1.0	-0.006
0.926,0.916	0.983,0.967	-0.054
1.0,0.9	1.0,0.89	0.005
0.66,0.621	0.636,0.836	-0.095
1.0,1.0	1.0,0.897	0.051
1.0,1.0	0.983,1.0	0.008
0.986,0.99	0.983,0.966	0.014
0.92,0.953	0.985,1.0	-0.056
0.994,1.0	1.0,0.98	0.007
0.207,0.335	0.711,0.743	-0.456
0.118,0.139	0.174,0.233	-0.075
0.698,0.394	0.451,0.743	-0.051
1.0,1.0	1.0,1.0	0.0
0.985,0.997	0.984,1.0	-0.001
0.996,1.0	0.997,0.992	0.004
1.0,0.979	1.0,1.0	-0.01
0.998,1.0	1.0,0.997	0.001
1.0,1.0	1.0,0.995	0.002
0.155,0.106	0.121,0.183	-0.021
0.211,0.164	0.101,0.182	0.046
0.053,0.1	0.013,0.05	0.045
0.043,0.054	0.024,0.049	0.012
1.0,1.0	0.399,1.0	0.3
0.137,0.061	0.068,0.158	-0.014
1.0,0.986	1.0,1.0	-0.007
1.0,1.0	0.981,1.0	0.01
1.0,0.997	0.996,1.0	0.0
0.934,0.984	0.976,0.957	-0.007
1.0,0.825	0.842,0.738	0.122
1.0,1.0	0.968,1.0	0.016
0.958,0.989	1.0,0.921	0.013
1.0,0.986	1.0,1.0	-0.007
1.0,0.992	1.0,1.0	-0.004
1.0,1.0	0.998,1.0	0.001
1.0,1.0	0.989,1.0	0.006
0.0,0.02	0.115,0.052	-0.074
0.0,0.0	0.161,0.051	-0.106
0.168,0.211	0.275,0.215	-0.055
0.52,0.468	0.48,0.473	0.018
0.935,0.971	0.936,0.941	0.015
0.959,0.983	0.957,0.958	0.013
0.933,0.971	0.95,0.953	0.0
1.0,1.0	0.972,0.963	0.032
0.992,0.99	1.0,1.0	-0.009
0.956,1.0	1.0,1.0	-0.022
1.0,0.972	1.0,1.0	-0.014
0.706,0.896	0.871,0.49	0.12
0.925,1.0	1.0,1.0	-0.037
1.0,0.986	1.0,1.0	-0.007
1.0,1.0	1.0,0.57	0.215
1.0,0.999	1.0,1.0	-0.0
0.012,0.021	0.01,0.011	0.006
0.993,0.99	1.0,1.0	-0.008
0.296,0.308	0.328,0.402	-0.063
0.998,1.0	1.0,1.0	-0.001
0.993,1.0	1.0,1.0	-0.004
1.0,1.0	0.992,1.0	0.004
1.0,0.984	1.0,1.0	-0.008
0.904,1.0	1.0,1.0	-0.048
0.924,1.0	1.0,1.0	-0.038
1.0,1.0	0.981,0.99	0.014
1.0,1.0	0.998,1.0	0.001
1.0,0.99	1.0,1.0	-0.005
0.981,1.0	1.0,1.0	-0.01
0.997,1.0	1.0,1.0	-0.002
0.995,1.0	1.0,1.0	-0.002
0.001,0.001	0.0,0.0	0.001
1.0,1.0	0.969,1.0	0.016
0.96,1.0	0.979,0.981	0.0
0.988,1.0	1.0,1.0	-0.006
0.981,0.969	1.0,1.0	-0.025
0.927,0.957	1.0,1.0	-0.058
1.0,0.987	1.0,1.0	-0.006
1.0,0.99	1.0,1.0	-0.005
0.999,1.0	1.0,1.0	-0.0
0.998,1.0	0.998,1.0	0.0
0.973,1.0	1.0,1.0	-0.014
0.974,1.0	1.0,1.0	-0.013
1.0,0.995	0.996,0.986	0.007
0.239,0.181	0.246,0.293	-0.059
0.688,0.662	0.44,1.0	-0.045
0.557,0.604	0.316,1.0	-0.078
1.0,1.0	0.598,1.0	0.201
1.0,0.994	1.0,1.0	-0.003
1.0,0.955	1.0,1.0	-0.022
0.083,0.061	0.058,0.023	0.032
0.988,0.991	0.977,0.987	0.008
1.0,0.999	1.0,1.0	-0.0
1.0,0.997	1.0,1.0	-0.002
NA,1.0	1.0,0.491	0.254
0.926,0.976	0.935,0.867	0.05
0.517,0.349	0.187,0.682	-0.002
0.47,0.242	0.071,0.516	0.062
1.0,0.724	0.724,1.0	0.0
0.797,1.0	1.0,1.0	-0.101
0.997,1.0	1.0,1.0	-0.002
0.036,0.0	0.037,0.084	-0.042
0.966,0.982	0.992,1.0	-0.022
0.956,0.901	0.965,0.933	-0.021
0.974,1.0	1.0,1.0	-0.013
0.968,0.951	0.792,1.0	0.064
0.951,0.943	0.859,1.0	0.017
0.873,0.849	0.779,0.753	0.095
0.977,0.963	0.961,1.0	-0.01
0.491,0.685	0.772,1.0	-0.298
0.871,0.961	0.975,1.0	-0.072
1.0,0.989	1.0,1.0	-0.006
1.0,0.991	1.0,0.987	0.002
1.0,0.871	1.0,0.838	0.016
0.081,0.088	0.12,0.129	-0.04
0.99,1.0	0.99,1.0	0.0
0.985,1.0	1.0,1.0	-0.008
0.983,0.985	0.981,1.0	-0.006
1.0,1.0	0.711,1.0	0.145
1.0,1.0	0.979,1.0	0.01
0.977,1.0	1.0,1.0	-0.012
0.979,0.902	0.894,0.962	0.013
0.041,0.021	0.025,0.069	-0.016
1.0,0.95	1.0,0.846	0.052
0.973,0.983	0.996,0.991	-0.016
1.0,0.993	1.0,1.0	-0.004
0.998,1.0	1.0,1.0	-0.001
0.9,0.961	0.947,0.737	0.089
0.198,0.096	0.147,0.202	-0.027
0.999,1.0	0.998,0.998	0.002
0.15,0.145	0.413,0.175	-0.146
1.0,1.0	1.0,1.0	0.0
0.994,1.0	1.0,0.985	0.005
1.0,0.969	1.0,1.0	-0.016
1.0,0.974	1.0,1.0	-0.013
1.0,0.96	1.0,1.0	-0.02
0.76,0.861	0.863,0.72	0.019
1.0,1.0	0.969,1.0	0.016
0.974,1.0	1.0,1.0	-0.013
0.0,0.017	0.02,0.0	-0.001
1.0,1.0	0.992,1.0	0.004
1.0,0.95	1.0,1.0	-0.025
0.984,0.984	0.991,0.992	-0.008
1.0,1.0	0.993,1.0	0.004
1.0,0.936	0.976,0.647	0.156
0.975,0.978	1.0,1.0	-0.024
0.508,1.0	1.0,0.65	-0.071
0.965,0.889	0.891,1.0	-0.018
1.0,0.994	0.994,1.0	0.0
0.0,0.228	0.0,NA	0.114
0.571,0.587	0.788,0.788	-0.209
0.966,1.0	1.0,1.0	-0.017
0.652,0.442	0.675,0.771	-0.176
0.952,0.914	1.0,1.0	-0.067
0.918,0.87	1.0,1.0	-0.106
1.0,1.0	0.982,0.981	0.018
0.134,0.211	0.196,0.14	0.004
0.325,0.1	0.085,0.188	0.076
1.0,0.564	1.0,0.0	0.282
1.0,1.0	1.0,0.0	0.5
0.647,0.209	0.297,0.733	-0.087
0.828,0.632	0.706,1.0	-0.123
0.615,0.693	0.819,0.554	-0.033
0.351,0.297	0.254,0.295	0.049
0.502,0.679	0.818,0.359	0.002
0.262,0.309	0.297,0.267	0.003
0.604,0.931	0.573,1.0	-0.019
0.183,0.126	0.161,0.112	0.018
0.485,0.825	0.435,1.0	-0.062
0.9,1.0	1.0,1.0	-0.05
1.0,1.0	1.0,0.98	0.01
1.0,0.999	1.0,1.0	-0.0
0.997,1.0	1.0,1.0	-0.002
0.107,0.135	0.115,0.151	-0.012
1.0,0.997	1.0,1.0	-0.002
1.0,0.997	1.0,1.0	-0.002
0.954,0.963	0.948,0.939	0.015
0.993,1.0	1.0,1.0	-0.004
1.0,1.0	0.921,1.0	0.039
1.0,1.0	0.922,1.0	0.039
1.0,1.0	1.0,0.986	0.007
0.905,0.795	0.912,0.837	-0.024
0.959,1.0	1.0,1.0	-0.02
1.0,1.0	1.0,0.944	0.028
1.0,1.0	0.896,1.0	0.052
1.0,1.0	0.78,1.0	0.11
0.983,0.99	0.974,1.0	-0.001
0.989,1.0	1.0,1.0	-0.006
NA,1.0	0.0,NA	1.0
0.0,0.0	0.001,0.0	-0.001
1.0,1.0	0.998,1.0	0.001
1.0,0.941	1.0,1.0	-0.03
1.0,1.0	0.984,1.0	0.008
1.0,0.979	1.0,1.0	-0.01
1.0,0.979	1.0,1.0	-0.01
0.993,1.0	1.0,1.0	-0.004
0.045,0.04	0.076,0.0	0.004
0.993,1.0	1.0,1.0	-0.004
1.0,1.0	0.997,1.0	0.002
0.988,1.0	1.0,1.0	-0.006
1.0,0.996	0.982,0.989	0.012
1.0,1.0	1.0,0.949	0.026
1.0,1.0	1.0,0.986	0.007
1.0,1.0	0.998,1.0	0.001
0.952,0.952	0.94,0.938	0.013
1.0,0.954	1.0,1.0	-0.023
1.0,0.99	1.0,1.0	-0.005
1.0,0.792	0.967,1.0	-0.088
1.0,0.659	0.917,1.0	-0.129
1.0,0.667	0.917,1.0	-0.125
0.5,0.387	0.104,0.575	0.104
0.494,0.659	0.424,0.725	0.002
1.0,1.0	0.999,1.0	0.0
1.0,0.989	0.985,0.959	0.022
1.0,1.0	0.981,1.0	0.01
1.0,1.0	1.0,0.994	0.003
0.909,1.0	1.0,1.0	-0.045
0.003,0.008	0.005,0.0	0.003
0.964,0.95	1.0,1.0	-0.043
0.956,0.928	1.0,1.0	-0.058
1.0,1.0	0.449,NA	0.551
1.0,0.995	1.0,1.0	-0.002
1.0,0.979	1.0,0.925	0.027
0.995,1.0	1.0,1.0	-0.002
0.992,1.0	1.0,1.0	-0.004
0.995,1.0	1.0,1.0	-0.002
1.0,1.0	1.0,0.974	0.013
1.0,0.995	1.0,1.0	-0.002
1.0,1.0	0.766,0.868	0.183
1.0,1.0	0.987,1.0	0.006
0.077,0.075	0.094,0.051	0.004
1.0,1.0	1.0,0.815	0.093
0.923,0.784	0.853,1.0	-0.073
0.935,0.952	0.861,1.0	0.013
0.001,0.001	0.0,0.0	0.001
0.993,0.999	0.996,0.995	0.0
1.0,1.0	1.0,0.913	0.043
1.0,1.0	1.0,1.0	0.0
1.0,0.963	1.0,1.0	-0.018
0.986,1.0	0.992,0.966	0.014
0.991,1.0	1.0,1.0	-0.004
0.935,0.804	1.0,1.0	-0.13
0.96,1.0	0.97,1.0	-0.005
1.0,1.0	1.0,0.956	0.022
0.936,0.875	0.941,0.873	-0.002
1.0,1.0	0.999,1.0	0.0
0.998,1.0	1.0,1.0	-0.001
1.0,1.0	0.998,0.994	0.004
1.0,0.988	1.0,1.0	-0.006
1.0,0.968	1.0,1.0	-0.016
0.971,1.0	1.0,1.0	-0.014
1.0,1.0	1.0,0.987	0.006
1.0,0.948	0.953,1.0	-0.002
0.598,0.442	0.552,0.741	-0.127
0.994,1.0	1.0,0.99	0.002
0.146,0.094	0.112,0.132	-0.002
0.408,0.462	0.325,0.474	0.036
1.0,0.976	1.0,0.953	0.012
1.0,1.0	1.0,0.961	0.02
0.998,0.998	0.999,1.0	-0.002
0.968,0.972	1.0,1.0	-0.03
1.0,1.0	1.0,0.964	0.018
0.878,0.699	1.0,0.915	-0.169
0.959,1.0	1.0,1.0	-0.02
1.0,0.993	0.971,1.0	0.011
0.202,0.243	0.167,0.0	0.139
0.0,0.0	0.0,0.014	-0.007
0.983,0.986	1.0,1.0	-0.016
1.0,0.996	0.994,1.0	0.001
1.0,1.0	0.993,1.0	0.004
0.048,0.164	0.12,0.092	0.0
0.061,0.229	0.162,0.146	-0.009
1.0,0.963	0.952,1.0	0.006
0.161,0.223	0.297,0.324	-0.118
0.0,0.0	0.132,0.251	-0.192
1.0,0.998	1.0,1.0	-0.001
1.0,1.0	0.979,1.0	0.01
0.0,0.0	0.001,0.0	-0.001
0.635,0.651	0.447,0.579	0.13
0.638,0.65	0.445,0.572	0.136
0.596,0.659	0.469,0.639	0.073
1.0,0.979	1.0,1.0	-0.01
0.0,0.052	0.0,0.0	0.026
0.0,0.0	1.0,0.0	-0.5
1.0,0.998	1.0,1.0	-0.001
0.856,1.0	1.0,1.0	-0.072
1.0,0.943	1.0,1.0	-0.028
0.694,0.691	0.748,0.729	-0.046
0.811,0.857	0.853,1.0	-0.092
0.534,0.605	0.663,1.0	-0.262
0.879,0.909	0.92,1.0	-0.066
0.602,0.748	0.772,1.0	-0.211
0.999,1.0	1.0,1.0	-0.0
1.0,0.967	1.0,1.0	-0.016
0.99,0.994	1.0,1.0	-0.008
0.976,0.97	0.963,0.962	0.011
1.0,0.982	1.0,1.0	-0.009
0.966,1.0	1.0,1.0	-0.017
1.0,1.0	0.973,0.951	0.038
0.987,0.984	0.983,0.967	0.011
0.984,0.991	1.0,1.0	-0.012
1.0,1.0	1.0,0.95	0.025
0.015,0.011	0.008,0.015	0.001
0.631,0.406	0.764,0.619	-0.173
1.0,0.935	1.0,1.0	-0.032
1.0,0.978	1.0,1.0	-0.011
1.0,0.986	1.0,1.0	-0.007
0.939,0.965	1.0,1.0	-0.048
0.996,1.0	1.0,1.0	-0.002
1.0,1.0	0.986,1.0	0.007
0.835,1.0	0.898,1.0	-0.032
0.871,0.934	0.862,1.0	-0.028
0.999,1.0	1.0,1.0	-0.0
1.0,0.999	1.0,1.0	-0.0
1.0,0.998	1.0,1.0	-0.001
0.995,1.0	1.0,1.0	-0.002
0.998,0.993	0.992,0.997	0.001
0.991,1.0	1.0,1.0	-0.004
1.0,1.0	1.0,0.985	0.008
0.973,1.0	1.0,1.0	-0.014
0.989,1.0	1.0,1.0	-0.006
0.922,0.987	0.979,1.0	-0.035
0.891,0.985	0.976,1.0	-0.05
1.0,0.999	1.0,1.0	-0.0
0.997,0.998	1.0,1.0	-0.002
0.511,0.514	0.561,0.474	-0.005
1.0,0.983	0.992,0.99	0.001
0.347,1.0	1.0,NA	-0.327
0.03,0.054	0.053,0.036	-0.003
0.987,1.0	1.0,1.0	-0.006
0.987,0.981	0.992,0.986	-0.005
1.0,0.999	1.0,1.0	-0.0
1.0,0.975	1.0,1.0	-0.012
0.889,0.968	0.882,0.886	0.044
0.954,0.88	0.954,1.0	-0.06
1.0,1.0	0.995,1.0	0.002
0.377,0.396	0.44,0.431	-0.049
NA,0.574	0.402,0.0	0.373
0.996,1.0	1.0,1.0	-0.002
0.994,1.0	1.0,1.0	-0.003
1.0,1.0	0.99,1.0	0.005
0.97,0.935	1.0,1.0	-0.047
1.0,1.0	0.997,1.0	0.002
1.0,1.0	0.994,1.0	0.003
0.965,1.0	0.956,1.0	0.004
0.942,0.873	0.796,0.905	0.057
1.0,0.998	1.0,1.0	-0.001
0.987,0.998	0.99,0.989	0.003
0.985,0.997	0.988,0.985	0.005
0.001,0.0	0.005,0.003	-0.004
0.978,1.0	0.992,0.964	0.011
0.391,0.373	0.387,0.307	0.035
0.376,0.354	0.382,0.265	0.041
0.972,1.0	1.0,1.0	-0.014
0.774,0.823	0.648,0.757	0.096
0.657,1.0	1.0,1.0	-0.171
1.0,1.0	1.0,0.98	0.01
0.908,0.947	0.945,0.943	-0.016
0.925,1.0	1.0,1.0	-0.037
0.0,0.003	0.002,0.005	-0.002
0.008,0.006	0.011,0.005	-0.001
0.972,0.978	1.0,1.0	-0.025
0.001,0.001	0.001,0.0	0.001
0.003,0.002	0.002,0.002	0.001
1.0,1.0	0.992,1.0	0.004
1.0,1.0	0.947,0.936	0.058
0.949,0.96	0.996,0.992	-0.04
1.0,1.0	1.0,0.994	0.003
1.0,0.997	1.0,1.0	-0.002
1.0,0.987	1.0,1.0	-0.006
1.0,0.985	1.0,1.0	-0.008
0.974,0.934	0.985,0.877	0.023
0.88,0.958	0.925,1.0	-0.043
1.0,1.0	0.997,1.0	0.002
1.0,1.0	0.868,1.0	0.066
1.0,1.0	0.99,1.0	0.005
0.027,0.039	0.017,0.005	0.022
0.04,0.052	0.007,0.005	0.04
0.226,0.332	0.406,0.339	-0.094
0.702,0.469	0.639,1.0	-0.234
0.996,0.998	0.998,0.996	0.0
0.942,0.948	0.972,1.0	-0.041
1.0,1.0	1.0,0.998	0.001
0.204,0.142	0.211,0.0	0.067
1.0,0.974	1.0,1.0	-0.013
1.0,0.996	1.0,1.0	-0.002
1.0,0.997	0.996,1.0	0.0
1.0,0.997	0.996,1.0	0.0
0.005,0.002	0.002,0.0	0.003
0.994,0.998	1.0,1.0	-0.004
1.0,1.0	0.996,1.0	0.002
0.991,1.0	1.0,1.0	-0.004
0.985,1.0	1.0,1.0	-0.008
1.0,1.0	1.0,0.948	0.026
0.996,1.0	1.0,1.0	-0.002
0.897,0.935	0.869,0.928	0.017
0.969,1.0	1.0,1.0	-0.016
0.934,1.0	1.0,1.0	-0.033
1.0,0.271	1.0,1.0	-0.365
1.0,0.826	1.0,1.0	-0.087
0.925,1.0	1.0,1.0	-0.037
0.989,0.957	1.0,1.0	-0.027
0.902,0.867	0.885,0.912	-0.014
0.01,0.039	0.023,0.03	-0.002
1.0,0.988	1.0,1.0	-0.006
0.907,0.986	1.0,1.0	-0.053
0.992,1.0	1.0,1.0	-0.004
0.921,0.902	0.946,0.979	-0.051
1.0,0.991	0.943,1.0	0.024
1.0,0.913	1.0,1.0	-0.043
0.979,1.0	1.0,1.0	-0.01
0.971,0.979	0.978,1.0	-0.014
1.0,1.0	0.997,1.0	0.002
0.536,0.58	0.646,0.542	-0.036
0.998,1.0	0.998,1.0	0.0
1.0,1.0	1.0,1.0	0.0
0.817,1.0	1.0,1.0	-0.092
1.0,0.998	1.0,1.0	-0.001
0.991,0.994	1.0,1.0	-0.008
0.136,0.221	0.125,0.089	0.071
0.975,1.0	1.0,1.0	-0.012
1.0,0.969	1.0,1.0	-0.016
0.0,0.0	0.001,0.0	-0.001
0.132,0.044	0.039,0.16	-0.012
0.104,0.045	0.04,0.224	-0.058
1.0,1.0	0.958,1.0	0.021
1.0,1.0	0.991,1.0	0.004
1.0,0.999	1.0,1.0	-0.0
0.939,0.977	0.991,0.954	-0.014
0.161,0.202	0.367,0.305	-0.154
1.0,0.951	0.972,1.0	-0.01
0.994,1.0	1.0,1.0	-0.003
0.981,0.969	1.0,0.978	-0.014
0.015,0.03	0.0,0.024	0.01
0.734,0.729	0.716,0.546	0.101
0.753,0.767	0.711,0.585	0.112
0.091,0.227	0.0,0.0	0.159
0.262,0.247	0.389,0.493	-0.186
0.215,0.215	0.258,0.4	-0.114
0.112,0.096	0.2,0.265	-0.129
0.994,0.972	0.993,0.991	-0.009
0.143,0.195	0.223,0.267	-0.076
0.923,0.973	1.0,1.0	-0.052
1.0,1.0	0.737,1.0	0.131
0.979,0.983	0.977,1.0	-0.007
1.0,0.97	1.0,1.0	-0.015
1.0,1.0	0.981,1.0	0.01
0.993,1.0	1.0,1.0	-0.004
0.993,0.994	1.0,1.0	-0.006
1.0,0.973	1.0,1.0	-0.014
1.0,0.904	1.0,1.0	-0.048
0.994,0.985	0.994,1.0	-0.007
0.91,0.882	1.0,0.829	-0.018
0.826,0.747	1.0,0.696	-0.061
0.009,0.004	0.0,0.0	0.006
0.65,0.763	0.941,0.951	-0.239
0.974,0.984	0.988,0.987	-0.009
1.0,0.992	1.0,1.0	-0.004
1.0,0.996	0.996,0.972	0.014
1.0,1.0	0.996,1.0	0.002
1.0,1.0	0.994,1.0	0.003
1.0,1.0	0.953,1.0	0.024
0.002,0.003	0.002,0.001	0.001
0.021,0.015	0.021,0.015	0.0
0.023,0.019	0.024,0.022	-0.002
1.0,0.691	1.0,1.0	-0.155
0.498,0.401	0.655,0.418	-0.087
1.0,0.909	1.0,0.898	0.005
1.0,0.99	1.0,1.0	-0.005
0.964,0.939	1.0,1.0	-0.048
0.998,1.0	0.999,1.0	-0.001
1.0,1.0	0.986,1.0	0.007
0.977,1.0	0.968,1.0	0.004
0.03,0.064	0.062,0.078	-0.023
0.773,0.759	0.83,0.694	0.004
0.609,0.578	0.691,0.514	-0.009
0.981,0.964	1.0,0.959	-0.007
0.989,0.989	0.989,1.0	-0.005
1.0,1.0	0.99,1.0	0.005
0.905,0.974	0.944,0.926	0.004
1.0,0.983	0.973,1.0	0.005
0.963,0.951	1.0,0.976	-0.031
