IncLevel1	IncLevel2	IncLevelDifference
0.225,0.351	0.298,0.208	0.035
0.926,0.961	1.0,0.97	-0.041
0.652,0.799	1.0,0.845	-0.197
0.014,0.015	0.038,0.0	-0.005
0.32,0.0	0.0,0.0	0.16
1.0,1.0	0.921,1.0	0.039
0.908,0.869	0.974,1.0	-0.098
0.593,0.568	0.908,0.889	-0.318
0.965,0.931	0.981,0.95	-0.018
0.933,0.897	0.89,0.899	0.02
0.213,0.299	0.925,0.301	-0.357
0.137,0.048	0.08,0.08	0.012
0.832,0.892	1.0,1.0	-0.138
0.076,0.104	0.063,0.039	0.039
0.067,0.053	0.071,0.051	-0.001
0.684,0.648	0.71,0.566	0.028
0.462,0.311	0.495,0.35	-0.036
0.115,0.081	0.143,0.16	-0.053
0.994,1.0	0.998,1.0	-0.002
0.893,0.88	0.71,0.719	0.172
0.431,0.454	0.478,0.464	-0.028
1.0,1.0	1.0,0.999	0.0
1.0,1.0	0.998,1.0	0.001
0.543,0.415	0.76,0.856	-0.329
0.684,0.706	0.767,0.746	-0.061
0.886,0.866	1.0,1.0	-0.124
0.945,1.0	1.0,0.847	0.049
0.076,0.116	0.104,0.121	-0.016
0.044,0.074	0.083,0.09	-0.027
0.316,0.5	0.522,0.361	-0.033
0.488,0.901	0.47,0.542	0.189
0.325,0.369	0.75,0.359	-0.208
0.972,0.979	0.954,0.683	0.157
0.918,0.894	1.0,0.899	-0.043
0.0,0.001	0.004,0.003	-0.003
0.013,0.006	0.009,0.011	-0.0
0.0,0.0	0.022,0.0	-0.011
0.296,0.326	0.381,0.219	0.011
0.039,0.035	0.06,0.018	-0.002
0.165,0.215	0.278,0.194	-0.046
0.039,0.054	0.052,0.051	-0.005
1.0,1.0	0.46,1.0	0.27
0.001,0.001	0.008,0.008	-0.007
0.0,0.001	0.008,0.005	-0.006
0.021,0.014	0.025,0.023	-0.006
0.011,0.008	0.016,0.015	-0.006
0.189,0.243	0.359,0.31	-0.119
0.673,0.73	0.176,0.325	0.451
0.694,1.0	0.746,0.728	0.11
0.033,0.04	0.053,0.022	-0.001
0.847,0.788	0.776,0.685	0.087
0.012,0.009	0.008,0.009	0.002
0.023,0.031	0.035,0.04	-0.011
0.103,0.066	0.19,0.168	-0.095
0.038,0.0	0.045,0.027	-0.017
0.932,1.0	1.0,1.0	-0.034
0.03,0.026	0.025,0.018	0.006
1.0,NA	NA,0.0	1.0
0.0,0.0	0.0,0.044	-0.022
0.019,0.047	0.022,0.048	-0.002
0.013,0.019	0.027,0.011	-0.003
0.032,0.02	0.02,0.03	0.001
0.291,0.293	0.646,0.562	-0.312
1.0,1.0	0.708,1.0	0.146
0.0,0.025	0.009,0.016	0.0
0.094,0.048	0.113,0.098	-0.035
1.0,0.829	1.0,1.0	-0.086
0.0,0.0	0.001,0.001	-0.001
0.016,0.009	0.025,0.025	-0.013
1.0,0.852	1.0,1.0	-0.074
0.744,0.781	0.408,0.448	0.334
0.567,0.378	0.852,0.871	-0.389
0.966,1.0	0.958,0.968	0.02
0.416,0.594	0.239,0.37	0.201
1.0,0.988	1.0,1.0	-0.006
1.0,0.818	0.435,0.184	0.6
1.0,1.0	1.0,0.926	0.037
0.231,0.474	0.153,0.31	0.121
1.0,0.774	1.0,1.0	-0.113
0.047,0.056	0.154,0.146	-0.098
0.936,0.917	0.99,0.974	-0.055
0.068,0.091	0.083,0.088	-0.006
1.0,0.993	1.0,1.0	-0.004
0.015,0.005	0.019,0.018	-0.008
0.851,1.0	1.0,0.801	0.025
0.809,0.759	0.258,0.781	0.264
0.007,0.0	0.056,0.0	-0.025
0.022,0.028	0.0,0.0	0.025
0.977,1.0	0.865,0.874	0.119
0.869,1.0	1.0,0.834	0.017
0.982,0.996	0.997,1.0	-0.009
1.0,0.959	1.0,1.0	-0.02
0.022,0.018	0.029,0.031	-0.01
0.024,0.02	0.028,0.033	-0.009
0.736,0.714	0.513,0.686	0.125
0.055,0.111	NA,0.0	0.083
1.0,1.0	1.0,0.615	0.193
0.04,0.042	0.042,0.076	-0.018
0.02,0.007	0.022,0.027	-0.011
0.312,0.294	0.176,0.173	0.129
0.667,0.58	0.637,0.813	-0.102
0.632,0.604	0.485,0.463	0.144
0.17,0.0	0.0,0.29	-0.06
0.245,0.024	0.042,0.219	0.004
0.0,0.0	0.0,0.041	-0.021
0.951,0.96	1.0,1.0	-0.044
0.042,0.033	0.0,0.0	0.038
0.113,0.0	0.062,0.324	-0.137
0.605,1.0	1.0,1.0	-0.198
0.029,0.007	0.0,0.0	0.018
0.68,1.0	0.889,1.0	-0.104
0.99,0.992	1.0,1.0	-0.009
1.0,1.0	1.0,0.0	0.5
0.983,0.993	0.963,1.0	0.006
0.198,0.235	0.071,0.036	0.163
0.0,0.0	0.0,0.001	-0.001
0.006,0.004	0.006,0.006	-0.001
0.003,0.004	0.005,0.006	-0.002
0.034,0.0	0.033,0.0	0.001
0.003,0.008	0.03,0.039	-0.029
0.078,0.038	0.023,0.055	0.019
0.918,0.906	1.0,0.666	0.079
0.0,0.0	0.001,0.0	-0.001
0.067,0.062	0.066,0.072	-0.005
0.388,0.28	0.166,0.337	0.083
0.0,0.014	0.021,0.013	-0.01
0.28,0.206	0.0,0.0	0.243
0.142,0.148	0.257,0.316	-0.141
0.983,0.952	0.969,0.937	0.014
0.001,0.001	0.0,0.001	0.001
1.0,0.673	1.0,1.0	-0.163
0.019,0.027	0.016,0.021	0.004
0.416,0.428	0.714,0.69	-0.28
0.972,0.949	0.911,0.959	0.025
0.996,0.97	1.0,1.0	-0.017
0.797,0.758	0.92,0.922	-0.143
0.041,0.04	0.11,0.058	-0.044
0.775,0.844	0.982,0.96	-0.161
0.971,0.946	1.0,1.0	-0.042
0.122,0.0	0.035,0.0	0.043
0.0,0.011	0.0,0.027	-0.008
0.368,0.244	0.294,0.267	0.026
0.917,0.964	0.975,1.0	-0.047
0.0,0.0	0.001,0.0	-0.001
0.975,1.0	0.937,1.0	0.019
0.838,0.931	0.872,0.954	-0.028
0.031,0.195	0.021,0.196	0.005
1.0,0.665	1.0,1.0	-0.167
0.077,0.074	0.167,0.198	-0.107
0.216,0.335	0.377,0.155	0.01
0.063,0.143	0.15,0.154	-0.049
0.375,0.339	1.0,1.0	-0.643
1.0,0.982	1.0,1.0	-0.009
0.768,0.834	0.666,0.722	0.107
0.028,0.032	0.016,0.0	0.022
0.984,0.905	0.81,0.926	0.076
0.879,0.967	1.0,0.966	-0.06
0.0,0.0	0.0,0.224	-0.112
0.461,0.461	0.72,0.719	-0.259
0.977,0.916	0.375,0.239	0.639
1.0,1.0	0.0,NA	1.0
0.589,0.549	0.5,0.601	0.018
0.67,0.721	1.0,0.0	0.196
0.022,0.01	0.017,0.037	-0.011
0.0,0.0	0.039,0.0	-0.019
1.0,0.825	0.904,NA	0.008
0.973,0.951	1.0,0.966	-0.021
0.03,0.0	0.012,0.103	-0.042
0.015,0.013	0.0,0.029	-0.001
0.043,0.0	0.0,0.08	-0.019
0.977,1.0	1.0,1.0	-0.012
0.256,0.148	0.059,0.038	0.154
0.29,0.262	0.059,0.15	0.172
0.0,0.031	0.0,0.0	0.015
0.816,0.903	0.877,0.929	-0.044
0.12,0.229	0.359,0.407	-0.209
0.432,0.34	0.843,0.871	-0.471
0.119,0.072	1.0,0.129	-0.469
0.357,0.394	0.362,0.402	-0.007
0.032,0.0	0.0,0.0	0.016
0.628,0.695	0.749,0.745	-0.086
0.009,0.002	0.029,0.0	-0.009
0.011,0.004	0.003,0.015	-0.001
0.016,0.022	0.016,0.024	-0.001
0.585,0.642	1.0,1.0	-0.387
0.484,0.641	0.719,0.762	-0.178
0.421,0.476	0.593,0.0	0.152
0.004,0.046	0.044,0.1	-0.047
0.002,0.0	0.008,0.008	-0.007
0.873,0.968	1.0,1.0	-0.08
0.047,0.773	0.254,1.0	-0.217
0.017,0.027	0.063,0.032	-0.026
0.04,0.027	0.099,0.035	-0.034
0.184,0.0	0.311,NA	-0.219
0.006,0.012	0.014,0.033	-0.014
0.059,0.049	0.018,0.036	0.027
0.012,0.027	0.021,0.047	-0.015
0.019,0.037	0.016,0.011	0.014
0.698,0.896	1.0,0.49	0.052
0.233,0.19	0.31,0.419	-0.153
0.135,0.066	0.182,0.163	-0.072
0.113,0.154	0.212,0.095	-0.02
0.923,1.0	0.42,0.529	0.487
0.294,0.307	0.35,0.232	0.01
1.0,1.0	1.0,0.975	0.012
0.98,0.914	1.0,1.0	-0.053
0.957,0.915	1.0,1.0	-0.064
0.253,0.214	0.2,0.265	0.001
0.377,0.338	0.521,0.408	-0.107
0.917,0.897	0.813,0.952	0.025
0.98,1.0	0.993,0.959	0.014
1.0,1.0	0.794,0.803	0.202
0.198,0.177	0.331,0.208	-0.082
0.639,0.371	0.499,0.499	0.006
0.813,0.64	0.873,0.959	-0.19
0.298,0.428	1.0,0.735	-0.504
0.843,0.915	0.277,0.0	0.74
0.051,0.039	0.106,0.071	-0.043
0.029,0.012	0.006,0.034	0.001
0.062,0.056	0.035,0.051	0.016
0.01,0.009	0.008,0.0	0.005
1.0,0.738	0.246,0.629	0.431
1.0,0.583	1.0,1.0	-0.209
1.0,0.476	1.0,1.0	-0.262
0.869,0.893	1.0,0.853	-0.045
0.348,0.131	0.343,0.394	-0.129
0.013,0.007	0.007,0.012	0.001
0.037,0.032	0.089,0.078	-0.049
0.897,1.0	0.795,1.0	0.051
0.227,0.237	0.303,0.549	-0.194
0.058,0.055	0.071,0.0	0.021
0.989,1.0	1.0,1.0	-0.006
0.382,0.4	0.385,0.544	-0.074
0.98,0.938	0.94,0.882	0.048
0.01,0.009	0.014,0.02	-0.008
0.12,0.259	0.292,0.353	-0.133
0.19,0.156	0.069,0.057	0.11
0.751,0.813	0.907,0.859	-0.101
0.651,0.481	0.355,0.542	0.118
0.627,0.417	0.299,0.478	0.134
0.351,1.0	0.31,1.0	0.02
0.925,0.981	0.851,0.902	0.077
0.978,0.996	0.933,0.973	0.034
0.13,0.065	0.044,0.14	0.006
0.212,0.44	0.0,0.485	0.084
0.229,0.426	0.0,0.0	0.328
0.229,0.0	0.0,0.0	0.115
0.004,0.004	0.006,0.004	-0.001
0.998,1.0	1.0,1.0	-0.001
0.123,0.09	0.09,0.067	0.028
1.0,0.737	0.0,0.0	0.869
0.644,0.432	0.418,0.492	0.083
0.003,0.002	0.008,0.006	-0.005
0.786,0.629	0.705,0.749	-0.019
0.532,0.563	0.536,0.418	0.071
0.904,0.909	0.91,0.896	0.004
0.996,0.995	1.0,1.0	-0.004
0.901,0.903	0.908,0.917	-0.011
0.996,0.995	1.0,1.0	-0.004
0.989,0.985	1.0,1.0	-0.013
0.0,0.024	0.155,0.044	-0.088
0.617,0.695	1.0,1.0	-0.344
0.021,0.0	0.0,0.0	0.011
0.66,0.624	0.618,0.675	-0.005
0.158,0.081	0.094,0.101	0.022
0.389,0.074	0.175,0.358	-0.035
0.049,0.044	0.051,0.028	0.007
0.932,1.0	0.865,1.0	0.033
1.0,0.906	1.0,0.762	0.072
0.194,0.0	0.0,0.49	-0.148
0.031,0.022	0.037,0.0	0.008
0.003,0.001	0.009,0.005	-0.005
0.037,0.017	0.0,0.0	0.027
0.091,0.187	0.244,0.067	-0.016
0.027,0.029	0.029,0.034	-0.003
0.001,0.002	0.001,0.001	0.001
0.0,0.012	0.0,0.0	0.006
1.0,0.888	0.762,0.629	0.248
0.02,0.035	0.025,0.0	0.015
0.364,0.371	0.913,0.902	-0.54
0.076,0.092	0.268,0.253	-0.177
0.856,1.0	1.0,1.0	-0.072
0.299,0.298	0.769,0.88	-0.526
0.857,0.861	0.557,0.225	0.468
0.737,0.512	0.396,0.557	0.148
1.0,0.606	0.266,0.3	0.52
0.237,0.105	0.175,0.304	-0.069
1.0,0.582	0.283,0.27	0.514
0.122,0.097	0.187,0.276	-0.122
0.0,0.164	0.344,0.478	-0.329
0.914,1.0	1.0,1.0	-0.043
0.011,0.027	0.02,0.092	-0.037
0.386,0.504	0.385,0.425	0.04
0.998,1.0	1.0,0.989	0.005
0.468,0.398	1.0,1.0	-0.567
0.481,0.38	0.259,0.467	0.068
0.0,0.099	0.0,0.0	0.05
0.485,0.653	0.508,0.477	0.076
0.119,0.164	0.118,0.099	0.033
0.038,0.028	0.022,0.053	-0.004
1.0,1.0	1.0,0.866	0.067
0.058,0.041	0.046,0.048	0.003
0.316,0.188	0.481,0.649	-0.313
0.1,0.123	0.067,0.103	0.027
0.009,0.001	0.011,0.0	-0.001
0.012,0.007	0.009,0.029	-0.009
0.018,0.021	0.009,0.019	0.006
0.005,0.003	0.005,0.02	-0.009
0.684,0.522	0.79,0.869	-0.227
0.0,0.0	0.019,0.0	-0.009
0.124,0.086	0.324,0.38	-0.247
0.003,0.002	0.002,0.0	0.002
0.57,0.542	0.427,0.511	0.087
0.619,0.607	0.82,0.631	-0.113
0.931,1.0	1.0,1.0	-0.034
0.895,0.828	0.955,1.0	-0.116
0.452,1.0	1.0,1.0	-0.274
0.616,0.742	0.391,0.259	0.354
0.265,0.307	0.198,0.256	0.059
0.073,0.052	0.037,0.035	0.026
0.008,0.031	0.018,0.0	0.011
0.281,0.384	0.238,0.19	0.119
0.011,0.016	0.023,0.025	-0.011
0.015,0.018	0.033,0.039	-0.02
0.023,0.019	0.0,0.015	0.013
0.846,0.764	0.835,0.734	0.02
0.257,1.0	1.0,1.0	-0.371
0.069,0.111	0.111,0.072	-0.002
0.099,0.095	0.046,0.088	0.03
0.006,0.002	0.011,0.014	-0.009
0.025,0.032	0.036,0.019	0.001
0.958,1.0	1.0,1.0	-0.021
0.162,0.158	0.207,0.249	-0.068
0.939,0.842	0.889,1.0	-0.054
0.966,0.915	0.94,1.0	-0.029
0.903,1.0	1.0,1.0	-0.048
1.0,0.634	0.409,0.581	0.322
0.168,0.299	0.15,0.111	0.103
0.944,1.0	1.0,1.0	-0.028
0.092,0.0	0.07,0.0	0.011
0.599,0.504	0.333,0.294	0.238
0.11,0.139	0.146,0.418	-0.157
0.97,0.986	0.991,1.0	-0.018
0.283,0.271	0.229,0.264	0.031
0.566,1.0	1.0,NA	-0.217
0.45,0.711	1.0,0.0	0.081
0.161,0.194	0.25,0.21	-0.052
1.0,1.0	0.94,1.0	0.03
0.0,0.061	0.0,0.0	0.03
0.825,1.0	1.0,1.0	-0.088
0.025,0.014	0.034,0.025	-0.01
0.136,0.142	0.11,0.082	0.043
0.822,0.815	0.854,0.862	-0.039
0.013,0.012	0.057,0.018	-0.025
0.368,1.0	1.0,1.0	-0.316
0.573,1.0	1.0,1.0	-0.214
0.922,0.713	0.939,1.0	-0.152
0.009,0.011	0.014,0.005	0.0
0.947,0.9	1.0,1.0	-0.077
0.076,0.072	0.054,0.067	0.013
0.0,0.015	0.0,0.0	0.007
0.974,0.993	1.0,1.0	-0.016
0.202,0.171	0.224,0.194	-0.023
0.07,0.063	0.029,0.039	0.033
0.035,0.062	0.103,0.08	-0.043
0.658,1.0	NA,0.49	0.339
0.033,0.045	0.088,0.081	-0.045
0.275,0.287	0.278,0.2	0.042
0.021,0.106	0.159,1.0	-0.516
0.005,0.004	0.005,0.003	0.001
0.018,0.01	0.025,0.006	-0.002
0.0,0.005	0.0,0.0	0.003
0.257,0.675	1.0,NA	-0.534
0.694,0.756	0.647,0.447	0.178
0.0,0.269	0.0,0.0	0.135
0.148,0.115	0.167,0.17	-0.037
0.873,0.96	0.975,1.0	-0.071
0.102,0.051	0.0,0.255	-0.051
1.0,NA	1.0,0.0	0.5
0.065,0.071	0.095,0.06	-0.009
0.013,0.047	0.0,0.0	0.03
0.003,0.0	0.006,0.007	-0.005
0.01,0.01	0.006,0.024	-0.005
0.134,0.296	0.178,0.331	-0.04
0.985,0.932	0.956,0.948	0.007
0.011,0.016	0.01,0.018	-0.0
0.0,0.041	0.0,0.037	0.002
0.007,0.014	0.014,0.0	0.004
0.011,0.0	0.024,0.0	-0.007
0.502,0.693	0.653,0.573	-0.016
0.027,0.038	0.0,0.0	0.033
0.004,0.005	0.005,0.001	0.002
0.066,0.095	0.186,0.2	-0.113
0.089,0.0	0.0,0.0	0.044
0.03,0.032	0.026,0.039	-0.002
1.0,0.891	1.0,1.0	-0.054
0.286,0.345	0.277,0.204	0.075
1.0,1.0	0.32,NA	0.68
0.971,1.0	1.0,1.0	-0.014
0.473,0.376	1.0,0.752	-0.452
0.44,1.0	0.0,NA	0.72
0.011,0.02	0.022,0.045	-0.018
0.012,0.018	0.03,0.05	-0.025
0.229,0.257	1.0,NA	-0.757
0.035,0.052	0.038,0.005	0.022
0.087,0.122	0.025,0.014	0.085
0.482,0.55	0.511,0.148	0.186
0.628,0.699	0.59,0.641	0.048
0.027,0.04	0.045,0.0	0.011
0.015,0.016	0.048,0.047	-0.032
0.529,NA	1.0,1.0	-0.471
0.575,0.431	0.611,0.794	-0.2
0.218,0.244	0.199,0.1	0.081
0.019,0.027	0.029,0.036	-0.01
0.037,0.059	0.025,0.0	0.036
0.023,0.034	0.0,0.145	-0.044
0.255,0.226	0.229,0.272	-0.01
0.015,0.0	0.011,0.01	-0.003
0.041,0.061	0.054,0.101	-0.026
0.046,0.093	0.098,0.086	-0.022
0.986,0.959	1.0,0.969	-0.012
0.639,0.625	0.502,0.592	0.085
0.461,0.67	1.0,1.0	-0.434
0.054,0.052	0.296,0.283	-0.236
0.014,0.002	0.004,0.005	0.003
0.721,0.904	1.0,1.0	-0.188
0.965,1.0	1.0,1.0	-0.018
0.949,0.963	1.0,1.0	-0.044
0.002,0.0	0.0,0.0	0.001
0.007,0.017	0.0,0.0	0.012
0.012,0.004	0.0,0.0	0.008
0.004,0.008	0.015,0.0	-0.001
0.094,0.035	0.048,0.066	0.007
1.0,1.0	0.977,0.965	0.029
0.027,0.032	0.024,0.011	0.012
0.014,0.023	0.022,0.021	-0.003
0.226,0.151	0.112,0.306	-0.02
0.076,0.05	0.076,0.0	0.025
0.818,0.929	1.0,1.0	-0.127
0.041,0.034	0.0,0.016	0.03
0.469,0.48	0.48,0.454	0.008
1.0,1.0	1.0,0.985	0.008
1.0,1.0	0.641,0.728	0.316
0.014,0.018	0.008,0.014	0.005
1.0,0.0	0.407,1.0	-0.204
0.328,0.208	0.236,0.182	0.059
0.0,0.312	0.0,0.312	0.0
0.0,1.0	1.0,0.186	-0.093
0.331,0.23	0.234,0.233	0.047
0.433,0.32	0.57,0.509	-0.163
1.0,0.842	1.0,1.0	-0.079
0.149,0.069	0.074,0.194	-0.025
0.0,0.0	0.0,0.02	-0.01
0.031,0.033	0.023,0.042	-0.001
0.089,0.088	0.027,0.0	0.075
0.391,0.243	1.0,NA	-0.683
0.286,0.366	0.057,0.136	0.229
0.84,1.0	1.0,1.0	-0.08
0.91,0.772	1.0,1.0	-0.159
0.443,0.456	0.839,0.807	-0.373
0.79,1.0	1.0,0.582	0.104
0.001,0.002	0.001,0.001	0.001
0.002,0.001	0.001,0.0	0.001
0.002,0.001	0.001,0.0	0.001
0.002,0.001	0.001,0.0	0.001
0.555,0.33	0.511,0.311	0.031
0.627,0.4	0.549,0.306	0.086
0.573,0.361	0.482,0.237	0.107
0.881,1.0	1.0,NA	-0.059
0.006,0.007	0.007,0.008	-0.001
0.989,0.966	1.0,0.932	0.012
0.675,0.716	0.77,0.848	-0.113
0.006,0.008	0.003,0.01	0.0
0.212,0.212	0.547,1.0	-0.562
0.0,0.0	1.0,0.44	-0.72
0.317,0.159	0.324,0.212	-0.03
1.0,0.975	1.0,1.0	-0.012
0.03,0.04	0.056,0.019	-0.002
0.673,1.0	0.861,0.469	0.171
0.564,1.0	1.0,0.564	0.0
0.152,0.078	0.124,0.019	0.043
0.998,0.999	0.998,0.997	0.001
0.002,0.001	0.004,0.006	-0.004
0.016,0.006	0.013,0.011	-0.001
0.239,0.261	0.165,0.208	0.064
1.0,1.0	0.989,1.0	0.006
0.975,0.992	0.961,0.947	0.03
0.367,0.385	0.392,0.439	-0.039
0.045,0.021	0.015,0.025	0.013
0.939,0.808	1.0,0.737	0.005
0.885,0.837	0.921,0.914	-0.056
0.003,0.006	0.013,0.025	-0.014
1.0,0.908	1.0,1.0	-0.046
0.893,0.963	0.939,1.0	-0.042
0.876,0.944	0.946,1.0	-0.063
0.434,0.265	0.733,0.452	-0.243
0.019,0.022	0.061,0.071	-0.046
0.081,0.0	0.0,0.048	0.017
0.85,0.772	0.903,0.955	-0.118
0.03,0.044	0.039,0.0	0.017
0.545,0.554	0.827,1.0	-0.364
0.154,0.096	0.116,0.191	-0.028
0.014,0.004	0.017,0.009	-0.004
1.0,0.986	1.0,0.919	0.033
0.022,0.026	0.018,0.015	0.007
1.0,0.872	1.0,1.0	-0.064
0.883,0.957	1.0,1.0	-0.08
0.003,0.003	0.004,0.002	0.0
1.0,0.985	1.0,1.0	-0.008
0.081,0.032	0.121,0.073	-0.041
0.017,0.012	0.0,0.0	0.015
1.0,1.0	0.891,0.842	0.133
0.017,0.023	0.015,0.015	0.005
0.959,0.967	0.96,0.959	0.003
0.0,0.0	0.003,0.005	-0.004
0.908,0.887	0.947,0.968	-0.06
0.98,1.0	0.908,1.0	0.036
0.033,0.052	0.344,0.255	-0.257
0.009,0.002	0.005,0.006	0.0
0.0,0.0	0.001,0.002	-0.002
0.008,0.004	0.008,0.031	-0.013
0.084,0.11	0.263,1.0	-0.534
0.005,0.0	0.033,0.015	-0.022
0.836,0.838	0.801,0.802	0.035
0.621,0.686	0.577,0.45	0.14
0.051,0.043	0.031,0.056	0.004
0.039,0.097	0.0,0.043	0.047
0.011,0.004	0.012,0.018	-0.007
0.035,0.036	0.035,0.039	-0.002
0.035,0.037	0.034,0.04	-0.001
0.514,0.772	0.629,1.0	-0.171
0.825,0.899	1.0,1.0	-0.138
0.039,0.02	0.0,0.088	-0.014
0.025,0.042	0.122,0.232	-0.143
0.173,0.078	0.0,0.039	0.106
0.983,0.985	0.918,0.957	0.046
0.501,0.1	1.0,0.308	-0.354
0.105,0.033	0.128,1.0	-0.495
0.132,0.107	0.2,0.375	-0.168
0.008,0.01	0.007,0.0	0.006
0.576,0.253	0.504,0.826	-0.251
0.43,0.066	0.609,0.772	-0.443
0.317,0.0	0.823,0.34	-0.423
0.225,0.168	0.221,0.057	0.057
0.0,0.01	0.028,0.043	-0.03
0.96,0.885	1.0,1.0	-0.078
0.053,0.08	0.133,0.104	-0.052
0.465,0.5	0.649,0.432	-0.058
0.193,0.102	0.0,0.0	0.147
0.063,0.158	0.053,0.074	0.047
0.956,0.955	0.963,0.957	-0.004
0.01,0.014	0.021,0.007	-0.002
0.02,0.009	0.007,0.013	0.004
0.757,0.635	0.723,0.718	-0.024
0.965,0.963	0.965,0.956	0.004
0.369,0.362	0.253,0.29	0.094
1.0,0.994	1.0,1.0	-0.003
0.018,0.074	0.052,0.045	-0.003
0.06,0.079	0.038,0.063	0.019
0.01,0.019	0.0,0.0	0.014
0.229,NA	0.182,0.308	-0.016
0.007,0.017	0.016,0.024	-0.008
0.322,1.0	1.0,NA	-0.339
0.948,1.0	1.0,1.0	-0.026
0.486,0.321	1.0,0.0	-0.097
1.0,0.721	0.0,NA	0.861
0.176,0.203	1.0,0.0	-0.31
0.308,0.356	0.624,0.716	-0.338
0.0,0.767	NA,0.171	0.212
0.643,1.0	NA,0.0	0.822
0.039,0.036	0.024,0.048	0.001
0.039,0.032	0.025,0.126	-0.04
0.117,0.106	0.099,0.14	-0.008
0.748,0.748	0.73,0.0	0.383
0.59,NA	1.0,1.0	-0.41
0.02,0.019	0.022,0.026	-0.005
0.0,0.01	0.0,0.035	-0.013
0.043,0.016	0.168,0.092	-0.101
0.803,0.958	1.0,1.0	-0.119
0.202,0.229	0.247,0.161	0.012
0.02,0.017	0.186,0.019	-0.084
0.019,0.0	0.184,0.019	-0.092
0.127,0.109	0.099,0.101	0.018
0.84,0.653	0.723,0.815	-0.022
0.018,0.043	0.095,0.0	-0.017
0.675,0.206	1.0,0.341	-0.23
0.188,0.1	0.131,0.06	0.049
1.0,1.0	0.881,1.0	0.059
0.359,0.49	0.448,0.464	-0.032
0.926,0.947	0.963,1.0	-0.045
0.034,0.024	0.027,0.059	-0.014
0.545,0.556	0.502,0.233	0.183
0.004,0.005	0.0,0.007	0.001
0.009,0.008	0.014,0.019	-0.008
1.0,0.977	0.927,0.928	0.061
0.914,0.846	0.942,0.967	-0.074
0.9,0.289	1.0,NA	-0.405
0.679,0.744	0.643,0.686	0.047
0.01,0.022	0.01,0.027	-0.002
0.836,1.0	1.0,1.0	-0.082
0.607,1.0	1.0,NA	-0.197
0.297,0.083	0.297,0.597	-0.257
0.445,0.243	0.272,0.272	0.072
0.62,0.649	0.432,0.179	0.329
0.035,0.063	0.062,0.068	-0.016
1.0,0.49	1.0,NA	-0.255
0.325,1.0	0.0,0.0	0.662
0.231,0.234	0.203,0.203	0.029
0.335,0.3	0.284,0.313	0.019
0.55,0.494	0.585,0.55	-0.045
0.006,0.007	0.049,0.023	-0.03
0.036,0.025	0.131,0.469	-0.269
0.913,0.911	0.79,0.828	0.103
1.0,1.0	1.0,0.927	0.036
0.041,0.0	0.0,0.0	0.021
1.0,1.0	0.992,1.0	0.004
0.912,1.0	1.0,1.0	-0.044
1.0,0.998	1.0,1.0	-0.001
0.0,0.001	0.0,0.0	0.001
0.399,0.355	0.523,0.492	-0.131
0.673,0.688	0.957,0.913	-0.255
0.008,0.008	0.011,0.016	-0.005
0.993,0.997	1.0,0.994	-0.002
0.003,0.011	0.019,0.005	-0.005
0.979,0.979	0.954,0.982	0.011
0.014,0.0	0.0,0.044	-0.015
0.015,0.025	0.056,0.079	-0.048
1.0,0.898	1.0,1.0	-0.051
0.631,0.665	0.812,0.896	-0.206
1.0,1.0	0.88,0.849	0.135
0.056,0.01	0.0,0.014	0.026
0.0,0.001	0.0,0.0	0.001
0.09,0.106	0.099,0.098	-0.001
0.13,0.153	0.023,0.046	0.107
0.016,0.017	0.02,0.021	-0.004
0.035,0.023	0.033,0.041	-0.008
1.0,1.0	0.985,1.0	0.008
0.829,0.908	1.0,1.0	-0.131
0.0,0.002	0.002,0.0	0.0
0.532,0.693	1.0,1.0	-0.387
0.008,0.004	0.013,0.007	-0.004
0.032,0.019	0.029,0.027	-0.002
0.564,0.393	1.0,0.0	-0.022
0.835,0.895	1.0,0.305	0.213
0.741,0.907	0.809,1.0	-0.081
1.0,0.968	1.0,0.929	0.019
0.017,0.017	0.007,0.019	0.004
0.065,0.071	0.051,0.015	0.035
0.019,0.021	0.018,0.047	-0.013
0.63,0.699	0.87,0.921	-0.231
0.913,1.0	0.795,0.134	0.492
0.29,0.405	0.175,0.192	0.164
0.032,0.171	0.092,0.178	-0.034
1.0,0.989	1.0,0.931	0.029
0.765,0.708	0.846,0.901	-0.137
0.325,0.231	0.204,0.121	0.116
0.88,0.766	0.408,NA	0.415
0.193,0.215	1.0,0.344	-0.468
0.204,0.274	1.0,0.229	-0.376
0.005,0.004	0.008,0.018	-0.008
0.435,0.546	0.322,0.313	0.173
0.03,0.065	0.057,0.134	-0.048
0.024,0.0	0.0,0.0	0.012
0.939,0.979	0.895,0.883	0.07
0.488,1.0	0.0,NA	0.744
0.949,0.962	0.946,0.963	0.001
0.451,0.596	0.15,0.33	0.283
0.0,0.019	0.0,0.0	0.009
0.548,0.593	0.845,0.593	-0.148
0.222,0.111	0.236,0.114	-0.008
0.0,0.004	0.023,0.0	-0.009
0.45,0.293	0.404,0.465	-0.063
0.068,0.101	0.078,0.043	0.024
0.19,0.154	0.193,0.229	-0.039
0.773,0.812	0.829,0.841	-0.042
0.009,0.012	0.004,0.018	-0.001
0.971,1.0	1.0,1.0	-0.014
0.089,0.058	0.159,0.102	-0.057
0.069,0.12	0.045,0.038	0.053
0.02,0.052	0.017,0.013	0.021
